HSCode,Description,Unit,Quantity,Imports_Value_Rs_Thousands,Imports_Value_Rs_Billion,Imports_Revenue_Rs_Thousands
76020000,Aluminium waste and scrap,Kg,50088,10010.322875,0.01001,1867.057
76032000,Powders of lamellar structure; flakes of a  uminium.,Kg,1020,875.633594,0.000876,163.438
76041010,Aluminium Profiles not alloyed,Kg,7336.200012,2561.3372,0.002561,2053.229
76041090,"Other bars, rods of aluminium, not alloyed",Kg,2400.949982,1705.729543,0.001706,287.965
76042100,Hollow profiles of aluminium alloys,Kg,8850.855051,6753.6118,0.006754,2481.094
76042900,"Bars, rods and profiles of aluminium alloy  , nes",Kg,13448.662144,10476.981639,0.010477,3481.505
76051100,"Wire of aluminium, not alloyed, maximum cr  ss-sectional dimension >7mm",Kg,153723,86666.039371,0.086666,16163.616
76051900,"Wire of aluminium, not alloyed, maximum cr  ss-sectional dimension =<7mm.",Kg,188.77,56.04804,0.000056,10.528
76052100,"Wire of aluminium alloys, maximum cross-se  tional dimension >7mm",Kg,24898,14268.287,0.014268,2661.102
76052900,"Wire of aluminium alloys, maximum cross-se  tional dimension =<7mm",Kg,50,11.29724,0.000011,2.108
76061100,"Rectangular (incl square) plates, sheet &   trip of aluminium, not alloyed, >02m.",Kg,2798.5,2168.386039,0.002168,408.671
76061200,"Rectangular (incl square) plates, sheet &   trip of aluminium alloys, >02mm thic.",Kg,85088.8492,50209.141532,0.050209,9364.82
76069100,"Plates, sheet & strip (excl rectangula r) o  aluminium, not alloyed, >02mm th",Kg,71309.450989,46687.359953,0.046687,7592.802
76069200,"Plates, sheet & strip (excl rectangula r) o  aluminium alloys, >02mm thick",Kg,11274,7089.802099,0.00709,1319.81
76071100,"Aluminium foil, =<02mm thick, not backed,   olled but not further worked.",Kg,38279.400011,26932.560002,0.026933,5960.628
76071900,"Aluminium foil, =<02mm thick, not backed  ( xcl rolled).",Kg,45094.221985,38127.564983,0.038128,7204.786
76072000,"Aluminium foil, =<02mm thick, backed with   aper, plastics",Kg,20219.998833,17124.189624,0.017124,930.838
76081000,"Tubes and pipes of aluminium, not alloyed",Kg,50,16.62648,0.000017,4.981
76082000,Tubes and pipes of aluminium alloys,Kg,6389.620003,16082.180055,0.016082,3430.408
76090000,"Aluminium tube or pipe fittings (ex coupl i gs, elbows, sleeves)",Kg,269.279998,341.770577,0.000342,102.44
76101000,"Doors, windows and their frames and thresh  lds for door, of aluminium",Kg,25367.31996,10981.980655,0.010982,5972.45
76109000,"Aluminium structure and parts of structure  , nes",Kg,13527.920019,10082.628756,0.010083,5396.631
76110000,"Aluminium reservoirs, tanks, etc, (excl f o  gas) >=300 l of capicity",PCS,1,21.871311,0.000022,6.551
76129000,"Aluminium casks, drums, etc, nes (excl fo r gas), <300 l",PCS,40768960,593054.450867,0.593054,173522.482
76130020,Nitrogen Container of Aluminium,PCS,92,1748.71493,0.001749,523.811
76130090,Other Aluminium containers for compressed or liquefied gas,PCS,10,112.000061,0.000112,33.612
76141000,"Cables, plated bands, of aluminium, wit h s eel core, not electically insulated",Kg,14403,4950.522,0.004951,0.065
76149000,"Stranded wire, cables, plated bands, of  al minium alloys, not electrically ins",Kg,15,8.0075,0.000008,2.465
76151000,"Table, kitchen or other household articles  nd parts thereof;pot scourers and sco",PCS,3053627,67275.614317,0.067276,18160.887
76152000,Sanitary ware and parts thereof of alumini  m,Kg,289.717148,121.678049,0.000122,43.39
76161000,"Nails, tacks, staples, screws, bolts, nuts   rivits, cotters, washer of alumini",Kg,821.999997,668.545767,0.000669,184.881
76169100,"Cloth, grill, netting and fencing, of alum  nium wire",Kg,60872.150345,37238.244702,0.037238,7524.042
76169900,"Articles of aluminium, nes   .",Kg,17066.681974,13748.394676,0.013748,4134.069
78011000,"Refined lead, unwrought",Kg,28030,9099.715728,0.0091,1697.171
