HSCode,Description,Unit,Quantity,Exports_Value_Rs_Thousands,Exports_Value_Rs_Billion
38061000,Rosin and resin acids,Kg,487500,102530.08,0.10253
38070000,"Wood tar; wood tar oils; wood creosote; wood naphtha, vegetable pitch etc",Kg,28505.039062,1596.28225,0.001596
38231900,Industrial monocarboxylic fatty acids & acid oils from refining nes.,Kg,2369205,171097.03775,0.171097
38252000,Sewage sludge  .,Kg,57,2.78529,0.000003
38256900,Other wastes from chemical or allied industries,Kg,43080,206.784,0.000207
39033000,"Acrylonitrile-butadiene-styrene (abs) copolymers, in primary forms",Kg,83615,2675.68,0.002676
39073000,Epoxide resines,Kg,0.29,2.77578,0.000003
39076900,Other Poly(ethylene terephthalate),Kg,616064.352051,68329.55543,0.06833
39173100,"Flexible tubes, pipes and hoses, with a bu  st pressure >=276mpa",Kg,12043.549805,3314.385,0.003314
39181090,Wall or Celling coverings and others of polymer of vinyl chloride,Kg,38955.400391,4863.60826,0.004864
39191000,"Self-adhesive tape, plates, strip, in r oll , width =<20cm",Kg,0.5,2.1315,0.000002
39201010,"printed plates, sheets, film, foil and strip, of ethylene polymer",Kg,11821.189697,2931.65513,0.002932
39204990,"Other  plates, sheets, film, foil and strip, of polymer, >6%",Kg,727.099976,184.38,0.000184
39219092,Decorative Laminated Sunmica & Formica sheets,SQM,80009.37999,10800.4,0.0108
39231090,"Other Boxes, cases, crates and similar articles of plastics",Kg,390,16.2762,0.000016
39233010,Pet bottle (bottle pre-form) of plastics,Kg,52263.119112,11524.98069,0.011525
39233090,"Other - Carboys, bottles, flasks and similar articles nes of plastics",Kg,30170,6908.19282,0.006908
39235000,"Stoppers, lids, caps and other closures of  plastics",Kg,46094.199707,17503.428,0.017503
39249090,"other household articles and hygienic or toilet articles, of plastics.",Kg,9371.790039,2809.91676,0.00281
39253000,"Shutters, blinds and similar articles and parts, of plastics",Kg,9,11,0.000011
39259090,Other builders wares of plastics,Kg,337,242.62056,0.000243
39264000,Statuettes and other ornamental articles of plastics,Kg,5.365,8.43212,0.000008
39269010,"Bangles,Tika,Tikuli of plastics",GRO,18,4.56665,0.000005
39269099,Other articles of plastics nes,Kg,12.2,5.32392,0.000005
40030000,"Reclaimed rubber in primary forms or in pl  tes, sheets or strip",Kg,50000,8480,0.00848
40113000,"New pneumatic tyres, of rubber for aircraf",PCS,13,1586.96862,0.001587
